image,mask
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1019.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1019.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-102.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-102.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1020.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1020.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1021.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1021.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1022.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1022.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1023.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1023.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1024.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1024.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1025.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1025.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1026.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1026.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1027.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1027.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1028.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1028.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1029.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1029.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-103.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-103.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1030.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1030.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1031.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1031.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1032.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1032.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1033.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1033.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1034.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1034.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1035.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1035.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1036.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1036.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1037.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1037.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1038.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1038.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1039.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1039.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-104.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-104.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1040.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1040.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1041.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1041.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1042.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1042.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1043.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1043.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1044.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1044.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1045.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1045.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1046.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1046.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1047.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1047.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1048.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1048.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1049.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1049.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-105.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-105.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1050.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1050.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1051.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1051.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1052.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1052.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1053.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1053.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1054.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1054.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1055.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1055.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1056.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1056.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1057.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1057.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1058.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1058.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1059.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1059.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-106.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-106.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1060.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1060.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1061.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1061.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1062.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1062.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1063.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1063.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1064.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1064.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1065.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1065.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1066.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1066.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1067.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1067.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1068.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1068.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1069.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1069.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-107.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-107.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1070.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1070.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1071.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1071.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1072.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1072.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1073.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1073.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1074.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1074.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1075.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1075.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1076.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1076.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1077.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1077.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1078.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1078.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1079.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1079.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-108.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-108.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1080.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1080.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1081.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1081.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1082.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1082.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1083.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1083.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1084.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1084.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1085.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1085.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1086.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1086.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1087.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1087.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1088.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1088.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1089.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1089.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-109.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-109.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1090.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1090.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1091.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1091.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1092.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1092.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1093.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1093.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1094.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1094.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1095.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1095.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1096.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1096.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1097.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1097.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1098.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1098.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1099.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1099.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-11.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-11.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-110.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-110.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1100.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1100.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1101.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1101.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1102.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1102.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1103.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1103.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1104.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1104.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1105.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1105.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1106.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1106.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1107.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1107.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1108.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1108.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1109.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1109.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-111.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-111.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1110.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1110.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1111.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1111.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1112.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1112.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1113.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1113.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1114.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1114.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1115.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1115.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1116.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1116.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1117.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1117.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1118.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1118.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1119.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1119.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-112.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-112.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1120.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1120.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1121.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1121.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1122.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1122.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1123.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1123.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1124.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1124.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1125.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1125.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1126.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1126.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1127.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1127.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1128.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1128.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1129.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1129.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-113.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-113.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1130.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1130.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1131.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1131.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1132.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1132.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1133.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1133.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1134.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1134.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1135.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1135.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1136.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1136.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1137.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1137.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1138.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1138.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1139.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1139.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-114.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-114.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1140.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1140.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1141.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1141.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1142.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1142.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1143.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1143.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1144.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1144.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1145.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1145.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1146.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1146.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1147.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1147.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1148.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1148.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1149.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1149.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-115.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-115.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1150.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1150.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1151.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1151.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1152.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1152.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1153.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1153.png
